split,model,feature_concentration_shap,timestep_concentration_shap,MAE,RMSE
test,MLP,0.38691629847844644,,3.6336658000946045,6.750152587890625
test,RNN,0.3077677089156947,0.40360515058112,3.029099225997925,5.936111927032471
test,LSTM,0.30415407856084165,0.26874710574839455,3.7950551509857178,7.678872108459473
test,BiLSTM,0.31726946563766123,0.40207448884087127,3.2414731979370117,6.505040645599365
test,GRU,0.32834906976024625,0.19995329369655634,3.3312854766845703,6.62660551071167
test,TCN,0.2864483818725265,0.8145558742653953,3.176866054534912,6.746149063110352
test,Transformer,0.2723872673290417,0.08269369292440731,3.8304529190063477,7.161401748657227
test,Informer,0.30867810207024404,0.07761418707922851,3.6233108043670654,6.830574035644531
unseen,MLP,0.4997965791209449,,3.2604401111602783,6.535048961639404
unseen,RNN,0.4318483055478083,0.4149927144573179,2.901353120803833,6.071031093597412
unseen,LSTM,0.4321780909803624,0.28392430297397087,2.9983887672424316,6.5189690589904785
unseen,BiLSTM,0.455892600713516,0.40307498034961575,2.8247013092041016,6.170322418212891
unseen,GRU,0.4622375674142516,0.18610122569334087,2.9658772945404053,6.451671600341797
unseen,TCN,0.44301221272521074,0.9012897189797219,2.9361579418182373,6.184972763061523
unseen,Transformer,0.41507946059576384,0.0653520785215479,3.2083988189697266,6.52370548248291
unseen,Informer,0.4471070069724101,0.05833224544082538,3.3212671279907227,7.071991443634033
